period,org_code,parent_org,org_name,aande_attendances_type_1,aande_attendances_type_2,aande_attendances_other_aande_department,aande_attendances_booked_appointments_type_1,aande_attendances_booked_appointments_type_2,aande_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12_hrs_from_dta_to_admission,emergency_admissions_via_aande_type_1,emergency_admissions_via_aande_type_2,emergency_admissions_via_aande_other_aande_department,other_emergency_admissions,type1_total_attendances,type1_total_over_4hrs,type1_pct_within_4hrs
2026-02-01,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8435,1064,2617,0,0,0,3165,0,32,0,0,0,158,321,3031,806,0,1114,8435,3165,62.5
2026-02-01,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3098,0,0,163,0,0,6,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2696,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2209,0,0,194,0,0,9,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0,0,772,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,3551,224,1324,17,0,8,1235,0,78,0,0,0,211,159,1249,0,0,114,3568,1235,65.4
2026-02-01,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY NHS FOUNDATION TRUST,6229,0,1768,833,0,35,2097,0,0,212,0,0,326,8,2204,0,0,994,7062,2309,67.3
2026-02-01,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,8619,953,2874,0,0,0,1977,0,0,0,0,0,572,75,2321,0,18,1232,8619,1977,77.1
2026-02-01,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,8964,0,3526,52,0,127,3143,0,54,18,0,0,1048,331,3976,0,0,834,9016,3161,64.9
2026-02-01,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,15343,0,8106,0,0,839,5384,0,0,0,0,0,80,65,4819,0,0,2293,15343,5384,64.9
